Date,Open,High,Low,Close,Volume,Adj Close
2012-02-21,3021.19,3031.45,3003.62,3025.07,000,3025.07
2012-02-17,2977.20,3010.67,2977.20,3000.59,000,3000.59
2012-02-16,3011.68,3011.68,2973.61,2977.20,000,2977.20
2012-02-15,2987.41,3014.76,2982.63,3011.68,000,3011.68
2012-02-14,2976.34,2988.13,2955.98,2987.41,000,2987.41
2012-02-13,2960.00,2978.33,2952.22,2976.34,000,2976.34
2012-02-10,2981.17,2994.50,2954.56,2960.00,000,2960.00
2012-02-09,2982.20,2992.93,2957.01,2981.17,000,2981.17
2012-02-08,2957.78,2985.98,2957.78,2982.20,000,2982.20
2012-02-07,2940.10,2963.19,2940.10,2957.78,000,2957.78
2012-02-06,2917.95,2959.44,2917.95,2940.10,000,2940.10
2012-02-03,2901.04,2931.77,2901.04,2917.95,000,2917.95
2012-02-02,2904.76,2925.43,2901.04,2901.04,000,2901.04
2012-02-01,2906.69,2906.69,2883.49,2904.76,000,2904.76
2012-01-31,2888.29,2906.69,2874.31,2906.69,000,2906.69
2012-01-30,2916.26,2916.26,2881.68,2888.29,000,2888.29
2012-01-27,2894.43,2916.29,2888.28,2916.26,000,2916.26
2012-01-26,2891.64,2917.59,2876.16,2894.43,000,2894.43
2012-01-25,2849.38,2891.64,2849.38,2891.64,000,2891.64
2012-01-24,2849.38,2849.38,2849.38,2849.38,000,2849.38
2012-01-23,2849.38,2849.38,2849.38,2849.38,000,2849.38
2012-01-20,2811.20,2852.46,2811.20,2849.38,000,2849.38
2012-01-19,2795.40,2818.90,2795.40,2811.20,000,2811.20
2012-01-18,2815.85,2824.72,2792.56,2795.40,000,2795.40
2012-01-17,2756.49,2815.85,2756.49,2815.85,000,2815.85
2012-01-16,2791.54,2791.54,2746.60,2756.49,000,2756.49
2012-01-13,2743.66,2791.54,2743.66,2791.54,000,2791.54
2012-01-12,2747.13,2759.77,2732.31,2743.66,000,2743.66
2012-01-11,2719.83,2747.13,2714.92,2747.13,000,2747.13
2012-01-10,2691.28,2721.62,2691.28,2719.83,000,2719.83
2012-01-09,2715.59,2715.59,2683.15,2691.28,000,2691.28
2012-01-06,2713.02,2717.60,2699.81,2715.59,000,2715.59
2012-01-05,2711.02,2733.86,2708.21,2713.02,000,2713.02
2012-01-04,2688.36,2714.68,2688.36,2711.02,000,2711.02
2012-01-03,2646.35,2693.23,2646.35,2688.36,000,2688.36
2011-12-30,2672.78,2672.78,2646.35,2646.35,000,2646.35
2011-12-29,2666.25,2672.78,2655.62,2672.78,000,2672.78
2011-12-28,2673.62,2683.03,2661.07,2666.25,000,2666.25
2011-12-27,2676.47,2680.24,2669.40,2673.62,000,2673.62
2011-12-23,2664.80,2678.41,2664.80,2676.47,000,2676.47
2011-12-22,2673.32,2673.32,2659.01,2664.80,000,2664.80
2011-12-21,2614.45,2676.40,2614.45,2673.32,000,2673.32
2011-12-20,2618.09,2628.46,2606.52,2614.45,000,2614.45
2011-12-19,2659.22,2659.22,2611.23,2618.09,000,2618.09
2011-12-16,2635.25,2667.38,2635.25,2659.22,000,2659.22
2011-12-15,2672.39,2672.39,2630.36,2635.25,000,2635.25
2011-12-14,2685.74,2687.33,2670.97,2672.39,000,2672.39
2011-12-13,2701.72,2701.72,2673.17,2685.74,000,2685.74
2011-12-12,2694.60,2722.74,2694.60,2701.72,000,2701.72
2011-12-09,2728.31,2728.31,2681.99,2694.60,000,2694.60
2011-12-08,2782.55,2782.55,2726.24,2728.31,000,2728.31
2011-12-07,2749.24,2793.08,2749.24,2782.55,000,2782.55
2011-12-06,2766.23,2766.23,2736.09,2749.24,000,2749.24
2011-12-05,2773.36,2773.66,2751.77,2766.46,000,2766.46
2011-12-02,2761.88,2773.36,2736.57,2773.36,000,2773.36
2011-12-01,2702.46,2779.66,2702.46,2761.88,000,2761.88
2011-11-30,2688.10,2705.98,2677.66,2702.46,000,2702.46
